fantaking_id,fantaking_name,fantaking_team,club_code,person_code,official_name,match_method,match_confidence
3765,M. James,EFS,IST,005985,"JAMES, MIKE",prior-season,90.0
3766,S. Vezenkov,OLY,OLY,003469,"VEZENKOV, SASHA",initial-club,99.0
3767,S. Larkin,FBT,ULK,007200,"LARKIN, SHANE",initial-club,99.0
3768,M. Lessort,PAO,PAN,003842,"LESSORT, MATHIAS",initial-club,99.0
3769,W. Tavares,RMB,MAD,005791,"TAVARES, WALTER",initial-club,99.0
3770,C. Moneke,CZV,RED,012201,"MONEKE, CHIMA",initial-club,99.0
3771,W. Baldwin,FBT,ULK,009863,"BALDWIN IV, WADE",initial-club,99.0
3772,F. Campazzo,RMB,MAD,005928,"CAMPAZZO, FACUNDO",initial-club,99.0
3774,T. Shengelia,DUB,DUB,001133,"SHENGELIA, TORNIKE",initial-club,99.0
3775,S. Shields,FBT,ULK,007831,"SHIELDS, SHAVON",initial-club,99.0
3776,W. Gabriel,BJK,BES,013383,"GABRIEL, WENYEN",initial-club,99.0
3777,W. Clyburn,FBT,ULK,004888,"CLYBURN, WILL",initial-club,99.0
3779,K. Sloukas,PAO,PAN,001926,"SLOUKAS, KOSTAS",initial-club,99.0
3780,F. Korkmaz,BJK,BES,005763,"KORKMAZ, FURKAN",initial-club,99.0
3782,N. Milutinov,OLY,OLY,003941,"MILUTINOV, NIKOLA",initial-club,99.0
3785,J. Nebo,BAR,BAR,011199,"NEBO, JOSH",initial-open,93.0
3787,N. Hayes-davis,PAO,PAN,008962,"HAYES-DAVIS, NIGEL",initial-club,99.0
3790,D. Musa,DUB,DUB,006540,"MUSA, DZANAN",initial-club,99.0
3791,C. Jones,PAR,PAR,013369,"JONES, CARLIK",initial-club,99.0
3792,J. Loyd,EFS,IST,009754,"LOYD, JORDAN",initial-club,99.0
3793,J. Nwora,CZV,RED,013363,"NWORA, JORDAN",initial-club,99.0
3794,K. Punter,BAR,BAR,009862,"PUNTER, KEVIN",initial-club,99.0
3795,T. Shorts,VBC,PAM,012608,"SHORTS, TJ",initial-club,99.0
3797,M. Fall,PAO,PAN,008811,"FALL, MOUSTAPHA",initial-club,99.0
3799,Z. Leday,HTA,HTA,008987,"LEDAY, ZACH",prior-season,90.0
3801,N. Melli,FBT,ULK,002849,"MELLI, NICOLO",initial-club,99.0
3803,G. Deck,RMB,MAD,009005,"DECK, GABRIEL",initial-club,99.0
3804,T. Sedekerskis,KBA,BAS,007230,"SEDEKERSKIS, TADAS",initial-club,99.0
3805,K. Nunn,PAO,PAN,012774,"NUNN, KENDRICK",initial-club,99.0
3806,D. Washington,BAY,MUN,013370,"WASHINGTON, DUANE",initial-club,99.0
3807,E. Okobo,DUB,DUB,011212,"OKOBO, ELIE",initial-club,99.0
3808,C. Miller-Mcintyre,OLY,OLY,009048,"MILLER-MCINTYRE, CODI",initial-club,99.0
3810,B. Colson,MTA,TEL,009783,"COLSON, BONZIE",initial-club,99.0
3812,J. Hoard,MTA,TEL,006835,"HOARD, JAYLEN",initial-club,99.0
3815,T. Forrest,FBT,ULK,013367,"FORREST, TRENT",initial-club,99.0
3816,M. Howard,KBA,BAS,011948,"HOWARD, MARKUS",initial-club,99.0
3820,A. Peters,MIL,MIL,008829,"PETERS, ALEC",initial-club,99.0
3821,D. Hall,OLY,OLY,011196,"HALL, DONTA",initial-club,99.0
3822,J. Bolomboy,ASV,ASV,009035,"BOLOMBOY, JOEL",prior-season,90.0
3824,L. Vildoza,PAR,PAR,007947,"VILDOZA, LUCA",initial-club,99.0
3825,J. Hernangomez,PAO,PAN,012712,"HERNANGOMEZ, JUANCHO",initial-club,99.0
3826,F. Ntilikina,PBB,PRS,006591,"NTILIKINA, FRANK",initial-open,93.0
3828,G. Papagiannis,EFS,IST,005844,"PAPAGIANNIS, GEORGIOS",initial-club,99.0
3830,D. Sirvydis,ZAL,ZAL,007029,"SIRVYDIS, DEIVIDAS",initial-club,99.0
3831,D. Thompson,MIL,MIL,011078,"THOMPSON, DARIUS",initial-club,99.0
3833,A. Brooks,VBC,PAM,013384,"BROOKS, ARMONI",initial-club,99.0
3834,N. Hifi,PBB,PRS,012640,"HIFI, NADIR",initial-club,99.0
3835,U. Garuba,RMB,MAD,007630,"GARUBA, USMAN",initial-club,99.0
3836,K. Mitoglou,PAO,PAN,007866,"MITOGLOU, KONSTANTINOS",initial-club,99.0
3838,C. Malcolm,EFS,IST,012609,"MALCOLM, COLLIN",initial-club,99.0
3841,T. Satoransky,HTA,HTA,002939,"SATORANSKY, TOMAS",prior-season,90.0
3842,S. Wilbekin,BJK,BES,006661,"WILBEKIN, SCOTTIE",initial-club,99.0
3843,M. Wright,MIL,MIL,012878,"WRIGHT, MOSES",initial-club,99.0
3845,J. Lauvergne,PAR,PAR,004194,"LAUVERGNE, JOFFREY",initial-club,99.0
3846,T. Ward,OLY,OLY,012610,"WARD, TYSON",initial-club,99.0
3850,T. Maledon,RMB,MAD,007027,"MALEDON, THEO",initial-club,99.0
3851,A. Feliz,RMB,MAD,011247,"FELIZ, ANDRES",initial-club,99.0
3852,E. Ulanovas,ZAL,ZAL,002329,"ULANOVAS, EDGARAS",initial-club,99.0
3853,J. Grant,PAO,PAN,011204,"GRANT, JERIAN",initial-club,99.0
3856,I. Cordinier,EFS,IST,009549,"CORDINIER, ISAIA",initial-club,99.0
3857,D. Oturu,HTA,HTA,012788,"OTURU, DAN",initial-club,99.0
3859,V. Lucic,BAY,MUN,001288,"LUCIC, VLADIMIR",initial-club,99.0
3860,D. Booker,MIL,MIL,007056,"BOOKER, DEVIN",initial-club,99.0
3861,T. Walkup,DUB,DUB,008855,"WALKUP, THOMAS",initial-club,99.0
3864,T. Luwawu-Cabarrot,RMB,MAD,012080,"LUWAWU-CABARROT, TIMOTHE",initial-club,99.0
3867,K. Papanikolaou,OLY,OLY,001255,"PAPANIKOLAOU, KOSTAS",initial-club,99.0
3868,Z. Obradovic,PAO,PAN,WBC,"OBRADOVIC, ZELJKO",prior-season,90.0
3869,M. Jantunen,RMB,MAD,012613,"JANTUNEN, MIKAEL",initial-club,99.0
3870,T. Jones,OLY,OLY,011981,"JONES, TYRIQUE",initial-club,99.0
3872,P. Martinez,RMB,MAD,CWX,"MARTINEZ, PEDRO",prior-season,90.0
3874,T. Dorsey,OLY,OLY,009849,"DORSEY, TYLER",initial-club,99.0
3875,M. Guduric,MIL,MIL,004004,"GUDURIC, MARKO",initial-club,99.0
3880,D. Willis,PAR,PAR,009664,"WILLIS, DEREK",initial-club,99.0
3881,L. Bolmaro,MIL,MIL,008985,"BOLMARO, LEANDRO",initial-club,99.0
3883,J. Voigtmann,BAY,MUN,007201,"VOIGTMANN, JOHANNES",initial-club,99.0
3884,N. Sako,VBC,PAM,010545,"SAKO, NEAL",initial-club,99.0
3885,G. Bartzokas,OLY,OLY,001869,"BARTZOKAS, GEORGIOS",prior-season,90.0
3886,D. Hackett,VIR,VIR,001844,"HACKETT, DANIEL",initial-club,99.0
3887,S. Francisco,PAO,PAN,007975,"FRANCISCO, SYLVAIN",initial-club,99.0
3888,S. Brown,ZAL,ZAL,012720,"BROWN, STERLING",initial-club,99.0
3891,V. Brown,BJK,BES,,,unmatched,60.0
3892,R. Jokubaitis,BAY,MUN,007519,"JOKUBAITIS, ROKAS",initial-club,99.0
3896,J. Nunez,BAR,BAR,010106,"NUNEZ, JUAN",initial-club,99.0
3897,S. Jasikevicius,FBT,ULK,ADG,"JASIKEVICIUS, SARAS",prior-season,90.0
3898,A. Zizic,BJK,BES,004554,"ZIZIC, ANTE",initial-club,99.0
3899,C. Edwards,ZAL,ZAL,011987,"EDWARDS, CARSEN",initial-club,99.0
3903,E. Bryant,HTA,HTA,009846,"BRYANT, ELIJAH",initial-club,99.0
3904,J. Anderson,DUB,DUB,012795,"ANDERSON, JUSTIN",initial-club,99.0
3905,I. Lundberg,MTA,TEL,010781,"LUNDBERG, IFFE",initial-club,99.0
3907,J. Blossomgame,DUB,DUB,011231,"BLOSSOMGAME, JARON",initial-club,99.0
3909,A. Sekulic,BAR,BAR,003516,"SEKULIC, ALEKSANDER",prior-season,90.0
3910,R. Sorkin,MTA,TEL,011219,"SORKIN, ROMAN",initial-club,99.0
3911,K. Hayes,PAR,PAR,010390,"HAYES, KEVARRIUS",initial-club,99.0
